"Dining Menu (09th January -15th January, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI (E)
E,"Indian/International (Protein &Carbs)",VEG PEANUT POHA (N),"IDLI, SAMBHAR","UTTAPHAM,SAMBHAR",VERMICILLI UPMA (V),MASALA PARATHA,HASHBROWN POTATO (D),BESAN CHILLA (D)
A,Accompaniment,MINT CHUTNEY (D),COCONUT CHUTNEY (V),COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),ALOO BHAJI,BAKED BEANS (V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,SHARDA","BANANA, APPLE","BANANA,PAPAYA","BANANA,APPLE","BANANA,SHARDA","BANANA,PAPAYA","BANANA, APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast( Protein &Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHAONION","GREEN SALAD, MEDITERRANEAN SALAD","GREEN SALAD, SIRKA ONION","GREEN SALAD,KALA CHANA CHAT","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD, PASTA SALAD (D)","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),KADHAI CHICKEN (NV/D),PENNE ALFREDO (D),DHABA MURG  (NV/D),VEGTABLE KHICHIDI,FUISSILI PASTA IN PINK SAUCE (D),ALOO BEANS  (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),MIX VEG (V),MATAR PANEER (D),MASALA  ALOO (V),CABBAGE MATAR (V),MALAI KOFTA CURRY (D),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),RAJMA MASALA (V),DAL HYDERABADI (V),CURD (D),PUNJABI KADHI PAKODA (D),GREEN MOONG DAL,CHHACH (D)
C,Rice / Curd ( Carbs/Calcium),STEAM RICE,JEERA RICE,PLAIN RICE,-,PLAIN RICE,PLAIN RICE,STEAM RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,METHI POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY",ACHAR,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,KESARI HALWA (D),,,,TRUFFLE PUDDING (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),JHAL MURI,MAGGIE,MUFFINS (D),SAMOSA,VEG PUFF (D),VEG BURGER (D),CHOCOLATE BROWNE (D)
A,"Beverage( Carbs,Vitamins &Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
