"Dining Menu (19th December -25th December, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
"8AM-10.30AM",,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),CHICKEN KALIMIRCH (NV/N/D),HOMESTYLE MACRONI (D),CHICKEN BIRYANI (NV/D),FUISSILI PASTA IN PINK SAUCE (D),PENNE ARRABIATA (D),CABBAGE MATAR (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),MATAR PANEER (D),ALOO HARA PYAZ (V),VEGTABLE PANEER BIRYANI (D),METHI ALOO (V),DAL MAKHANI (D),ALOO PALAK (V),HARE KADDU KI SABZI (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),RAJMA MASALA (V),HYDERABADI DAL (V),KADI PAKODA (D),MALAI KOFTA CURRY (D),KALE CHANE,CURD (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),JEERA RICE,JEERA RICE,PLAIN RICE,ONION RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,BESAN LADOO (D),,SHAHI TUKDA (D),KALA JAMUN (D),,
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CUP CAKE (D),ALOO TIKI,FRUIT CAKE (D),GOL GAPPE,CHEESE MUSHROOM TOAST (D),SMILEY,JHAL MURI CHAT (N)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",KHATTA MEETA PANI,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, LEMONCORIANDER SOUP","GREEN SALAD,AMERICAN CORNSALAD","GREEN SALAD, SPROUT SALAD","GREEN SALAD,MULLIGATWANYSOUP","GREEN SALAD, TOMATO SOUP","GREEN SALAD, SIRKA ONION","KOREAN KIMCHI SALAD,HOT &SOUR SOUP"
D,Dry Dish( Protein & Carbs),MIX VEGETABLE (V),SHAM SAVERA (D),"PENNE PASTA IN ALFREDO SAUCE(D)",MAC & CHEESE (D),VEGETABLE CORN LASAGNE (D),CHICKEN CURRRY (NV/N/D),HONEY CHILLI POTATO (N)
I,Gravy Dish( Protein & Carbs),LAUKI CHANA MASALA  (V),BAIGAN MASALA (V),GAJAR MATAR (V),SOYA MATAR (V),ALOO GOBHI ADRAKI (V),KADHAI PANEER (D),"STIR FRIED VEGETABLES IN HOTGARLIC SAUCE"
N,Pulse/Noodles ( Protein),DAL PANCHMEL(V),YELLOW MOONG DAL TADKA (V),RED MALKA  DAL (V),GREEN MOONG DAL,ARHAR DAL TADKA (V),DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,SCHEZWAN  FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,-
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY"
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),,ATTA LADOO (D),,,,STRAWBERRY ICE CREAM (D)
