"Dining Menu (26th September-02nd October, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
"8AM-10.30AM",,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),MIX RAITA (D),ARHAR DAL TADKA (V),SINDHI KADHI (D),CHANA DAL TADKA (V),CURD (D),CURD (D)
C,"Rice / Curd (Carbs/Calcium)",PLAIN RICE,SOYA BIRYANI,PLAIN RICE,JEERA RICE,PLAIN RICE,JEERA RICE,ONION RICE
H,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,,,BESAN LADOO (D),,PHIRNI (D),STRAWBERRY ICE CREAM (D)
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),KOTHMERI KEBAB (V),MARBLE CAKE (V),CHEESE TOAST (D),CUP CAKE (D),VEG PUFF (D),VEG SANDWICH (D),SMILEY (V)
A,"Beverage( Carbs,Vitamins& Minerals)","TEA (D), COFFEE (D)",BANANA SHAKE (D),COLD COFFEE (D),TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",LEMON WATER
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUTCHAT(P)","GREEN SALAD,AMERICAN CORNSALAD","GREEN SALAD, SPROUT SALAD","GREEN SALAD,TOSSED SALAD","GREEN SALAD, CHANA CHATSALAD","GREEN SALAD, SIRKA ONION",KOREAN KIMCHI SALAD
D,"Dry Dish( Protein &Carbs)",TOORAI MASALA (V),VEG JALFREZI (V),HOME STYLE MACRONI  (V),MAC & CHEESE (D),VEGETABLE CORN LASAGNE (D),PIND DA MURG (N&P&D),"STIR FRIED VEGETABLE IN HOTGARLIC SAUCE (V)"
I,"Gravy Dish( Protein &Carbs)",SUBZ KHOLAPURI (V),DUM ALOO KASHMIRI (D),LAUKI URAD VADI MASALA (V),BHINDI MASALA (V),ALOO GOBHI MATAR (V),PANNER KALI MIRCH (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),RAJASTHANI DAL (V),CHANA URAD DAL (V),DAL BUKHARA,RED MALKA DAL V),DAL MAKHANI (D),DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,SCHEWAN  FRIED RICE
E,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),FRUIT CUSTARD (D),BALUSAHI (D),CHOCOLATE ICE CREAM (D),,KALA JAMUN (D),,
