"Dining Menu (24th April-30th April, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES,MUESLI,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),MASALA OMELLETE (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E),SCRAMBLED EGG (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),"IDLI,SAMBHAR",MASALA DALIYA,VEG PEANUT POHA (N),"VADA, SAMBHAR",MIX PARATHA (D),"UTTAPHAM,SAMBHAR",HASHBROWN
A,Accompaniment,COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),MINT CHUTNEY (D),COCONUT CHUTNEY (V),CURD (D),COCONUT CHUTNEY (V),BAKED BEANS (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PAPAYA","BANANA, WATERMELON","BANANA, MIX FRUITS","BANANA,PAPAYA","BANANA,MUSKMELON","BANANA, WATEMELON","BANANA,MIX FRUIT"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,NIMBU PANI","GREEN SALAD,PLAIN CHACH (D)","GREEN SALAD,PUDINA PANI","GREEN SALAD,LACCHA ONION","GREEN SALAD,SARBAT","GREEN SALAD, THANDAI","GREEN SALAD, SIRKA ONION"
