"Dining Menu (05th June -11th June, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI(E),BOILED EGG (E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),SUJI UPMA (V&N),VEG PEANUT POHA (N),VERMICILLI UPMA (V),"UTTAPHAM,SAMBHAR",TIKONA PARATHA,HASHBROWN (D),PAO
A,Accompaniment,TOMATO CHUTNEY (V),MINT CHUTNEY (D),TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),ALOO BHAJI (D),BAKED BEANS (V),BHAJI (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA,WATERMELON","BANANA,PAPAYA","BANANA,WATEREMELON","BANANA,PAPAYA","BANANA,WATERMELON","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,JALJEERA","GREEN SALAD,PUDINA PANI","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,SHARBAT","GREEN SALAD,GREEK SALAD","GREEN SALAD ,NIMBU PANI","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),BHUNA CHICKEN (NV/N/D),HOMESTYLE MACRONI (D),CHICKEN BIRYANI (NV/D),FUISSILI PASTA IN POMODORO SAUCE (D),MASALA ALOO (V),MASALA KHICHIDI,PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER METHI MALAI (D),MIX VEG (V),VEGTABLE PANEER BIRYANI (D),ALOO CAPSICUM  (V),RAJMA (V),JEERA ALOO (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),DAL ARHAR TADKA (V),DAL PANCHMEL(V),SINDHI KADHI (D),BOONDI RAITA (D),CURD (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,STEAM RICE,MIX RAITA (D),STEAM RICE,STEAM RICE,,ONION RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,AJWANI POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR,JAGERRY","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,FRUIT CUSTARD (D),,,FRUIT CUSTARD (D),TRUFFLE PUDDING (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),ALOO CHEESE SANDWICH (D),SAMOSA,BANANA CAKE (D),KHASTA KACHORI,MAGGIE,NUGGETS,FRUIT CAKE
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),"TEA (D), COFFEE (D)",TANG,NIMBU PANI,COLD COFFEE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
