"Dining Menu (24th October-30th October, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
"8AM-10.30AM",,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),CURD (D),MIRCH KA SALAN (D&P),KADHI PAKODA (D),DAL MAKHANI (D),RAJMA MASALA (V),CURD (D)
C,"Rice / Curd (Carbs/Calcium)",PLAIN RICE,-,BURRANI RAITA (D),JEERA RICE,PLAIN RICE,JEERA RICE,ONION RICE
H,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),KHOYA BURFI (D),BALUSAHI (D),,,,PHIRNI (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),MARBLE CAKE (V),SMILEY (V),CUP CAKE (D),FRENCH FRIES (V),VEG PUFF (D),VEG SANDWICH (D),MASALA CORN (V)
A,"Beverage( Carbs,Vitamins& Minerals)","TEA (D), COFFEE (D)",BANANA SHAKE (D),COLD COFFEE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUTCHAT(P)","GREEN SALAD,AMERICAN CORNSALAD","GREEN SALAD, SPROUT SALAD","GREEN SALAD,TOSSED SALAD","GREEN SALAD, CHANA CHATSALAD","GREEN SALAD, SIRKA ONION",KOREAN KIMCHI SALAD
D,"Dry Dish( Protein &Carbs)",PENNE PASTA IN PINK SAUCE (D),VEG JALFREZI (V),LAUKI URAD VADI MASALA (V),MAC & CHEESE (D),VEGETABLE CORN LASAGNE (D),PIND DA MURG (N&P&D),"STIR FRIED VEGETABLE IN HOTGARLIC SAUCE (V)"
I,"Gravy Dish( Protein &Carbs)",PARMAL ALOO MASALA (V),DUM ALOO KASHMIRI (D),ACHARI BAIGAN (V),KURKURI BHINDI (V),ALOO GOBHI MATAR (V),KADHAI PANEER (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),RAJASTHANI DAL (V),CHANA URAD DAL (V),DAL BUKHARA,RED MALKA DAL V),ARHAR DAL TADKA (V),DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,SCHEWAN  FRIED RICE
E,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),,,CHOCOLATE ICE CREAM (D),COCONUT BURFI (D),KALA JAMUN (D),,STRAWBERRY ICE CREAM (D)
